Year,RS,RA,W,OBP,SLG,BA,G,OOBP,OSLG,RD
2018,677,728,80,0.314,0.393,0.234,162,0.316,0.407,-51
2017,690,782,66,0.315,0.409,0.25,162,0.333,0.447,-92
2016,610,796,71,0.301,0.384,0.24,162,0.325,0.448,-186
2015,626,809,63,0.303,0.382,0.249,162,0.341,0.445,-183
2014,619,687,73,0.302,0.363,0.242,162,0.321,0.387,-68
2013,610,749,73,0.306,0.384,0.248,162,0.331,0.415,-139
2012,684,680,81,0.317,0.4,0.255,162,0.306,0.407,4
2011,713,529,102,0.323,0.395,0.253,162,,,184
2010,772,640,97,0.332,0.413,0.26,162,,,132
2009,820,709,93,0.334,0.447,0.258,162,,,111
2008,799,680,92,0.332,0.438,0.255,162,,,119
2007,892,821,89,0.354,0.458,0.274,162,,,71
2006,865,812,85,0.347,0.447,0.267,162,,,53
2005,807,726,88,0.348,0.423,0.27,162,,,81
2004,840,781,86,0.345,0.443,0.267,162,,,59
2003,791,697,86,0.343,0.419,0.261,162,,,94
2002,710,724,80,0.339,0.422,0.259,161,,,-14
2001,746,719,86,0.329,0.414,0.26,162,,,27
2000,708,830,65,0.329,0.4,0.251,162,,,-122
1999,841,846,77,0.351,0.431,0.275,162,,,-5
1998,713,808,75,0.326,0.395,0.264,162,,,-95
1997,668,840,68,0.322,0.385,0.255,162,,,-172
1996,650,790,67,0.325,0.387,0.256,162,,,-140
1995,615,658,69,0.332,0.384,0.262,144,,,-43
1994,521,497,54,0.332,0.39,0.262,115,,,24
1993,877,740,97,0.351,0.426,0.274,162,,,137
1992,686,717,70,0.32,0.377,0.253,162,,,-31
1991,629,680,78,0.303,0.358,0.241,162,,,-51
1990,646,729,77,0.327,0.363,0.255,162,,,-83
1989,629,735,67,0.314,0.364,0.243,163,,,-106
1988,597,734,65,0.306,0.355,0.239,162,,,-137
1987,702,749,80,0.327,0.41,0.254,162,,,-47
1986,739,713,86,0.327,0.4,0.253,161,,,26
1985,667,673,75,0.312,0.383,0.245,162,,,-6
1984,720,690,81,0.333,0.407,0.266,162,,,30
1983,696,635,90,0.329,0.373,0.249,163,,,61
1982,664,654,89,0.323,0.376,0.26,162,,,10
1981,491,472,59,0.341,0.389,0.273,107,,,19
1980,728,639,91,0.327,0.4,0.27,162,,,89
1979,683,718,84,0.34,0.396,0.266,163,,,-35
1978,708,586,90,0.328,0.388,0.258,162,,,122
1977,847,668,101,0.346,0.448,0.279,162,,,179
1976,770,557,101,0.338,0.395,0.272,162,,,213
1975,735,694,86,0.342,0.402,0.269,162,,,41
1974,676,701,80,0.32,0.373,0.261,162,,,-25
1973,642,717,71,0.31,0.371,0.249,162,,,-75
1972,503,635,59,0.302,0.344,0.236,156,,,-132
1971,558,688,67,0.298,0.35,0.233,162,,,-130
1970,594,730,73,0.305,0.356,0.238,161,,,-136
1969,645,745,63,0.312,0.372,0.241,162,,,-100
1968,543,615,76,0.294,0.333,0.233,162,,,-72
1967,612,581,82,0.313,0.357,0.242,162,,,31
1966,696,640,87,0.322,0.378,0.258,162,,,56
