Year,W,R/G,G,R,RBI,SB,BA,OBP,SLG,Finish,RA/G,ERA,SV,IP,H,RA,ER,HR,BB,SO,Fld%,OOBP,OSLG
2018,80,4.18,162,677,653,69,0.234,0.314,0.393,3,4.49,4.14,44,1445.2,1366,728,665,171,500,1465,0.979,0.316,0.407
2017,66,4.26,162,690,654,59,0.25,0.315,0.409,5,4.83,4.55,33,1441,1471,782,729,221,527,1309,0.986,0.333,0.447
2016,71,3.77,162,610,574,96,0.24,0.301,0.384,4,4.91,4.63,43,1437,1468,796,739,213,466,1299,0.984,0.325,0.448
2015,63,3.86,162,626,586,88,0.249,0.303,0.382,5,4.99,4.69,35,1436.1,1592,809,749,191,488,1153,0.981,0.341,0.445
2014,73,3.82,162,619,584,109,0.242,0.302,0.363,5,4.24,3.79,40,1468.1,1396,687,619,134,521,1255,0.987,0.321,0.387
2013,73,3.77,162,610,578,73,0.248,0.306,0.384,4,4.62,4.32,32,1436.1,1465,749,689,152,506,1199,0.984,0.331,0.415
2012,81,4.22,162,684,659,116,0.255,0.317,0.4,3,4.2,3.83,42,1451.1,1387,680,618,178,409,1385,0.983,0.306,0.407
2011,102,4.4,162,713,693,96,0.253,0.323,0.395,1,3.27,3.02,47,1477,1320,529,495,120,404,1299,0.988,,
2010,97,4.77,162,772,736,108,0.26,0.332,0.413,1,3.95,3.67,40,1456.1,1402,640,594,168,416,1183,0.986,,
2009,93,5.06,162,820,788,119,0.258,0.334,0.447,1,4.38,4.16,44,1455.2,1479,709,673,189,489,1153,0.987,,
2008,92,4.93,162,799,762,136,0.255,0.332,0.438,1,4.2,3.88,47,1449.2,1444,680,625,160,533,1081,0.985,,
2007,89,5.51,162,892,850,138,0.274,0.354,0.458,1,5.07,4.73,42,1458.1,1555,821,767,198,558,1050,0.986,,
2006,85,5.34,162,865,823,92,0.267,0.347,0.447,2,5.01,4.6,42,1460.1,1561,812,747,211,512,1138,0.983,,
2005,88,4.98,162,807,760,116,0.27,0.348,0.423,2,4.48,4.21,40,1435,1379,726,672,189,487,1159,0.985,,
2004,86,5.19,162,840,802,100,0.267,0.345,0.443,2,4.82,4.45,43,1462.2,1488,781,724,214,502,1070,0.987,,
2003,86,4.88,162,791,757,72,0.261,0.343,0.419,3,4.3,4.04,33,1443.2,1386,697,648,142,536,1060,0.984,,
2002,80,4.41,161,710,676,104,0.259,0.339,0.422,3,4.5,4.17,47,1449.2,1381,724,671,153,570,1075,0.986,,
2001,86,4.6,162,746,708,153,0.26,0.329,0.414,2,4.44,4.15,47,1445.1,1417,719,667,170,527,1086,0.985,,
2000,65,4.37,162,708,668,102,0.251,0.329,0.4,5,5.12,4.77,34,1438.2,1458,830,763,201,640,1123,0.983,,
1999,77,5.19,162,841,797,125,0.275,0.351,0.431,3,5.22,4.92,32,1438.1,1494,846,787,212,627,1030,0.983,,
