Year,W,L,Finish,RA/G,ERA,SV,IP,H,R,ER,HR,BB,SO,Fld%
2018,80,82,3,4.49,4.14,44,1445.2,1366,728,665,171,500,1465,0.979
2017,66,96,5,4.83,4.55,33,1441,1471,782,729,221,527,1309,0.986
2016,71,91,4,4.91,4.63,43,1437,1468,796,739,213,466,1299,0.984
2015,63,99,5,4.99,4.69,35,1436.1,1592,809,749,191,488,1153,0.981
2014,73,89,5,4.24,3.79,40,1468.1,1396,687,619,134,521,1255,0.987
2013,73,89,4,4.62,4.32,32,1436.1,1465,749,689,152,506,1199,0.984
2012,81,81,3,4.2,3.83,42,1451.1,1387,680,618,178,409,1385,0.983
2011,102,60,1,3.27,3.02,47,1477,1320,529,495,120,404,1299,0.988
2010,97,65,1,3.95,3.67,40,1456.1,1402,640,594,168,416,1183,0.986
2009,93,69,1,4.38,4.16,44,1455.2,1479,709,673,189,489,1153,0.987
2008,92,70,1,4.2,3.88,47,1449.2,1444,680,625,160,533,1081,0.985
2007,89,73,1,5.07,4.73,42,1458.1,1555,821,767,198,558,1050,0.986
2006,85,77,2,5.01,4.6,42,1460.1,1561,812,747,211,512,1138,0.983
2005,88,74,2,4.48,4.21,40,1435,1379,726,672,189,487,1159,0.985
2004,86,76,2,4.82,4.45,43,1462.2,1488,781,724,214,502,1070,0.987
2003,86,76,3,4.3,4.04,33,1443.2,1386,697,648,142,536,1060,0.984
2002,80,81,3,4.5,4.17,47,1449.2,1381,724,671,153,570,1075,0.986
2001,86,76,2,4.44,4.15,47,1445.1,1417,719,667,170,527,1086,0.985
2000,65,97,5,5.12,4.77,34,1438.2,1458,830,763,201,640,1123,0.983
1999,77,85,3,5.22,4.92,32,1438.1,1494,846,787,212,627,1030,0.983
1998,75,87,3,4.99,4.64,32,1463,1476,808,754,188,544,1176,0.982
1997,68,94,5,5.19,4.85,35,1420.1,1441,840,765,171,616,1209,0.982
1996,67,95,5,4.88,4.48,42,1423.1,1463,790,708,160,510,1044,0.981
